chirp,audio,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,chDur,s1Dur,s2Dur,s3Dur,s4Dur,s5Dur,meanSyl,s12Gap,s23Gap,s34Gap,s45Gap,meanGap,carrier_freq
LPL11_0,LPL_1.WAV,-305.72396537419866,13.454308134196074,-190.88496337991933,-25.69739573916252,27.027141682903935,-13.906114433782227,-1.5178472367298443,6.408868935765031,6.859609448076383,-6.4279153334142505,-0.9401181614977071,0.5284527167748583,-4.942908113619759,-4.947001743599388,3.584323862440828,2.3886056794215444,-4.4353338460270555,4.511089075776819,-0.10893178735030908,1.4986220081576729,106.5022549648174,37.57468631014034,65.0601125567226,55.298598539441066,34.15197585188916,35.40030320995802,25.20250985339608,18.667442662115114,19.60662820216438,11.772264250827725,12.504314385421116,9.937484086194168,5.380507422250026,6.238555610640078,4.000752995601516,6.391532887552552,6.103776560216877,6.121474998459331,5.61195189513915,5.6747100086879305,5412.0,502.0,663.0,802.0,905.0,924.0,759.2,177.0,220.0,818.0,920.0,533.75,5727.83203125
LPL11_2,LPL_1.WAV,-309.82637459452724,25.674900680544035,-181.9074019997997,-29.372532989282295,20.836538143548363,13.082485327981543,-15.81838882076354,6.1217752643968515,10.659213090969388,-3.703463492870843,6.00800695532404,-2.8655396865932605,-1.6402282659409553,-1.4783850068007995,3.3254744606850517,-0.052172223594188626,-1.0748612871633785,1.2246374939750662,1.511443798921794,-3.288235515364992,70.58472113759753,48.59790383756527,53.98372668409184,57.67341360477791,33.07680854118842,28.621195626568223,20.73701189069872,19.096486615971045,14.548957545102093,16.745412546029286,12.354320110988914,10.269803995736915,15.789176443473082,7.964642870689651,5.983720361332503,7.489799392945372,6.119742680538199,6.679665329797519,5.3373285094746175,4.2692749770571705,5498.0,512.0,604.0,818.0,889.0,849.0,734.4,243.0,243.0,843.0,1006.0,583.75,5534.033203125
LPL11_6,LPL_1.WAV,-387.88291888692527,58.23864889248011,-196.73640181112899,-62.97328585201765,65.84103497597262,-18.34336203442975,-11.613263546122123,25.01488736348846,2.0434012596422058,-2.156211598754341,1.0416618017671524,-0.6608910472675487,-8.641453818058885,0.44471629062617657,-3.4100404107593247,2.2334499645206547,0.47950118254686447,0.02722903646119601,1.547855296051856,0.4800972637141257,64.96649546279578,40.73213278343822,58.85103450136028,61.94962641480531,37.50551179182639,38.23072813098879,29.143597235329135,18.570835547064217,18.84192214740165,10.159292121112063,16.518677394844865,14.22402390982809,6.7820267124738125,6.439312669344081,5.296520747134947,5.774603938383974,7.360388070222078,4.9378682330984205,4.772171696984247,4.711277820264575,5486.0,491.0,614.0,816.0,896.0,913.0,746.0,194.0,236.0,806.0,1025.0,565.25,5620.166015625
LPL11_8,LPL_1.WAV,-357.2906258793788,34.705038571156884,-196.69799992923262,-36.462116570498374,36.92118490934295,-8.911637104073392,-1.9354416241816232,14.028460383414599,9.216344390835737,-0.2655277644625783,-1.0158726774184488,-6.179689504820976,-1.9435502865666092,-5.61328919637558,-2.7244398315494256,4.70628769297409,-0.604865167638817,0.2168439971970681,4.132951510304541,3.805503876634349,96.3467519033064,35.53768376996576,63.86922666821001,55.94202768989017,39.95548543947176,39.49243742303396,21.91596298878307,24.525313846491514,26.35391060973852,11.1353045930072,16.163156329541486,10.685941721118398,6.9204749389631255,9.329613010411206,5.100361767759128,5.828776297937095,6.54941708394754,3.940361732135505,4.826441980955171,2.8960159799828773,5508.0,487.0,613.0,818.0,930.0,915.0,752.6,213.0,165.0,836.0,1044.0,564.5,5620.166015625
LPL11_9,LPL_1.WAV,-330.96739378935183,27.216075817533348,-188.69441672328958,-58.59325236991839,34.75072863864864,-13.857949240132685,-0.1458286528817502,13.633344442160412,7.040383827859196,12.573569545586054,0.6615669458924319,-3.076441138544588,-0.4854984510461384,1.2360780479107794,-4.378335605539927,1.5418511472857264,1.6203831135555748,-1.7655994104172905,3.5439890911487884,-0.6445500670170454,111.66940440034709,41.884395428241035,70.48336641961876,54.08800253585692,41.40726456121197,42.22768629676485,17.34400995322975,33.370553470054745,22.774689671481898,13.904263233797803,18.932168044255455,10.261452103232797,5.8064635465563645,9.787817508466775,6.137904289404528,6.505766936994603,6.444913701677456,7.8183607549409,4.839692009102136,4.994512045852044,5499.0,524.0,663.0,784.0,869.0,902.0,748.4,214.0,252.0,808.0,1007.0,570.25,5534.033203125
LPL11_10,LPL_1.WAV,-352.7154051557389,26.14919786273561,-204.21074531637976,-33.10252150434288,37.49997569634886,-13.16498076816704,2.2851397492753454,6.649659666765665,3.9587823116242764,-0.9082656288008124,-3.713202397611463,-8.081108619084025,6.228730641694522,-1.062322126329742,0.8035534947288497,3.7566969706770474,4.77838639728052,-6.259648097961172,4.740903955652577,-1.3282651907409437,92.23870296930673,31.96095707683237,60.60937909337909,53.02659006212852,42.4596543923643,38.45491222402119,21.77201988621915,36.02504391417433,26.852554713360508,8.11053716813334,15.665060959304842,11.14326666702112,13.238029084909297,10.272714332550947,7.652573907613282,4.602680249231642,3.790584660499745,6.3706789170915625,6.638257279182938,4.14910545967871,5330.0,490.0,628.0,787.0,898.0,918.0,744.2,184.0,175.0,795.0,979.0,533.25,5706.298828125
LPL11_12,LPL_1.WAV,-362.3018544823744,26.205576629937177,-195.94600174500687,-46.55362589043749,44.758622193538024,-10.681566606149287,-15.86349909051578,10.720609537929285,3.5305140598591644,-9.01280426162377,4.003904843331923,-2.5529751153527043,-1.9272266543634624,-0.3898471760804397,0.3516196039394424,2.3143948037369793,0.4500685840442938,-3.42231629823649,2.8252957139474444,0.31362136156441855,94.66300010385798,35.51845234649666,63.20663399905929,59.18735552455047,40.20710520975636,41.72618338959974,28.831227083788004,25.857191264620727,29.117458386008536,12.987586116105904,16.14083943080757,14.066256488863063,8.599405783635063,9.90401056908209,7.36924864332228,5.910208069437087,6.778872612733968,5.472603757719738,4.848654068821235,4.970323126907742,5433.0,470.0,616.0,803.0,917.0,928.0,746.8,191.0,177.0,806.0,1033.0,551.75,5727.83203125
LPL11_14,LPL_1.WAV,-354.2538256804772,7.336835789945565,-190.14881390519983,-24.215506098398578,40.048562295562135,5.384943528298421,-11.007930902892868,-7.204668631656509,5.51332698892444,-9.562576699938687,-3.2185154616125105,1.9062211240512459,0.48303410122469925,-1.5637328072551255,1.443882698473372,1.0919637299932423,3.4053393520951154,-2.550274669822839,2.808878134357071,1.2048606215393822,93.8355151262178,38.95509196329186,58.07088335340225,58.503595771291785,39.062245731722854,29.235427193022442,23.25602985055767,21.22294587748236,17.608840213004648,11.833392832429398,21.97026721452852,7.491129300938611,9.805491616938404,10.978408192881133,5.7378766543129665,6.711399905368221,4.287780489857715,6.8881136233622104,8.02491400121343,2.779467080267382,5282.0,466.0,629.0,822.0,898.0,844.0,731.8,186.0,155.0,651.0,1139.0,532.75,5727.83203125
LPL11_17,LPL_1.WAV,-348.09680344958565,22.18195758470037,-204.58820564648235,-43.75567430963578,42.22000045497804,-21.07108816937412,-0.7617829913372566,25.432429758454354,-2.4939822606050943,4.982522396558332,2.8559322700371537,-0.0573032389652262,-10.177093351289724,-2.5217183659644316,0.8478541143405749,3.197526578947651,-2.048980316669959,4.0141863311474415,-1.6640112529956692,-0.7530687998888044,93.48153889372408,38.31913965649354,67.15321613348762,62.80593259018172,40.67926431831843,32.489206143464244,27.157187558184617,16.29438158201817,20.943246124460494,11.117107712029327,13.224323375196576,14.767928975276707,7.13514840595486,6.432835997599635,5.230351850777617,6.462415395881731,6.160513816896877,5.671807295714707,6.322689787710375,4.631739472060067,5542.0,507.0,646.0,829.0,895.0,886.0,752.6,213.0,236.0,861.0,990.0,575.0,5706.298828125
LPL11_19,LPL_1.WAV,-372.3462796408641,23.9187560808094,-211.94242368377135,-47.502701133025646,29.454331560936847,-4.7804035386830614,2.4010495714407405,11.485765514164957,18.66240353651346,-2.282227641479744,3.6159701773573176,-2.3649398669007557,0.647484334618262,-6.370283740767921,-0.8924402052110242,3.595331917129266,-4.600113658402854,0.14522472645217077,0.9494488755928653,-0.38845803734109535,75.36258631627653,39.636128430713214,60.17961930692843,55.014845560144444,46.821272894594564,37.02737435503229,21.838124287499774,25.998357048177773,30.950632705669335,11.10050792350608,10.414008954102549,10.119458130379194,11.78600088584621,8.63688353516091,5.601770195975084,6.026271256812602,7.241963342975184,4.216953445253232,4.155712751479253,3.8497424399351035,5525.0,472.0,615.0,821.0,849.0,910.0,733.4,220.0,208.0,905.0,1034.0,591.75,5620.166015625
LPL11_23,LPL_1.WAV,-370.2024911752341,12.99468613811582,-209.59981607401548,-25.816461287016423,27.281399975261692,-9.162876974991173,-2.9006488075773347,5.522956625878473,17.00667857142485,-6.564759994683335,3.3613643822424852,0.08225391832594683,-6.357822071304874,1.1512191695546816,3.3615849907707003,0.8440914235604491,1.030357144479599,0.47087437811660365,-1.989999906445147,3.1221230097837163,79.08181446017332,39.05443930760158,65.38178419876289,61.64474492616444,42.58580322067082,36.00775903195156,28.114819618889562,19.77441529875889,25.005926742627658,9.756989211252693,8.25196886579742,8.059117325186135,12.136069728284761,6.475655777433553,5.557100405407204,7.787735215237419,7.620773007470246,3.5425976984002214,5.424158132553782,4.980221265275344,5574.0,508.0,582.0,852.0,917.0,906.0,753.0,254.0,212.0,810.0,1044.0,580.0,5684.765625
LPL11_25,LPL_1.WAV,-389.9688866706615,22.946740681789702,-194.68588006985362,-39.79473960520051,60.26944408056582,-3.5197176394943783,-9.850339866866245,9.145443512751017,5.670698694013497,-3.2765045517040763,-9.30006351647864,2.0692968321344862,-0.12457599627125646,-3.0544088772090414,3.8229087278817184,0.8300079094665165,0.7117091013859189,-2.2729474771584885,-1.6690065788389068,4.190779562610479,84.32331856007413,34.07161842179619,63.702129003660744,56.724124263767095,39.9265119222247,38.38351198792519,21.574379273509287,28.0156374700057,28.790918867513412,12.01979875746273,21.798377392145973,12.332956617540917,6.507144975022533,14.082543054116938,7.643366131004592,5.632592004545176,5.260432280094584,4.321072069132534,5.692165578852789,5.85551570360502,5508.0,487.0,626.0,766.0,925.0,916.0,744.0,204.0,229.0,851.0,1023.0,576.75,5727.83203125
LPL11_27,LPL_1.WAV,-380.8281495937003,51.848135262110766,-194.0107750375465,-46.58257140392356,34.2373378073114,-15.031283342809436,-8.704011103536574,6.510633556359062,19.00951962057578,-4.739077990792502,-1.694764469300124,3.563103050109467,-6.2284619179188745,-4.49213720671302,1.717039666298451,1.6642259719649795,-2.8896332708250285,0.49846516708453237,3.5966136688787316,-1.651342085984238,91.90897460326097,40.69196144254103,65.98642894493938,59.48854214394348,39.71209411515599,29.843051667830977,17.1887576324296,26.21135585664929,17.62685204528955,13.578800423257286,15.933323423064435,8.98471447108813,9.528504315498843,7.350510876602119,7.358561889708732,6.960980767707848,5.577653428491167,4.837260242091305,6.480913543787425,4.858969185510524,5447.0,491.0,645.0,836.0,874.0,815.0,732.2,203.0,167.0,838.0,1102.0,577.5,5663.232421875
LPL11_29,LPL_1.WAV,-351.2157548503949,13.191254348098193,-191.86013911852228,-21.072801793316966,49.6112337610987,-10.489295165200181,0.8851728349330847,8.801183526679983,-4.415146839801603,-0.4599389109291592,-2.8321449399084213,-0.6491125411937665,4.096749303551311,-3.712529542364648,-0.660195974384918,2.9354852313219326,0.09587374465788709,-1.7167023158851336,0.9871864609715343,2.640213374629401,103.09105879263021,38.14872917759033,72.49504473437766,65.82139865319097,42.90297119628116,35.14096183982275,28.187923836936715,14.138489012268279,27.538866651698104,9.444508924710094,13.081954443921045,9.66018656831524,8.466807392538982,13.246678242615435,6.337409769673208,9.34752852456186,6.12032789137299,6.328665048004989,5.831916162208083,3.610000691205663,5578.0,525.0,640.0,846.0,945.0,898.0,770.8,172.0,181.0,817.0,1070.0,560.0,5706.298828125
LPL11_33,LPL_1.WAV,-374.6471471907805,33.56719810182932,-196.70721810934444,-29.587728443205666,56.10502864801355,-11.057059539049483,0.7051666306491063,1.7882680796917936,10.35666787299338,-9.097365793993623,-7.592943423996218,4.49904628572062,-1.8648173632114393,-4.614707701519252,8.708394638950342,-4.195847113412121,2.0340972951530474,0.5650091928163089,-0.22182946770392672,1.4169925265166807,82.41447216669863,47.21525993843938,63.896152543409585,65.0362522730518,38.34305262889274,33.56505871474393,21.653251798230094,17.539086093295325,20.186033835818467,8.898088609149262,12.378562646557711,7.986918747730352,12.6700743716779,12.6439399792436,5.548667126700297,8.757005570207843,5.6486452314160625,4.3464287642311445,8.496581410570547,3.385837852173466,5533.0,494.0,671.0,803.0,889.0,908.0,753.0,180.0,200.0,867.0,1044.0,572.75,5749.365234375
LPL11_36,LPL_1.WAV,-361.4796824967009,14.756859535739828,-200.50958484766463,-20.382835453187603,38.70604091460732,-10.066409926224663,3.475853499799461,6.654871178880672,3.7221127577364936,-2.3482120020348654,1.7501523697760997,-2.728884722356139,0.4511020425975877,-0.9135104595634632,-1.124952054303149,2.76176885546823,-1.996791569404856,0.9802128070942702,3.4823928283844383,-0.24608028968256807,96.72091552277114,36.12882024743741,62.41677199819648,58.743553647937006,49.814193547900395,39.55827281863893,23.51560448751828,19.956541459934595,36.287458514238146,8.90065460314558,16.94746000651651,11.527020753201697,8.797568423050448,11.033258154286337,5.878489290429087,7.869827766171504,5.388955142408179,5.3192798807334745,7.083267707720113,3.8006291501254186,5610.0,545.0,638.0,834.0,951.0,917.0,777.0,186.0,178.0,798.0,1074.0,559.0,5770.8984375
LPL11_38,LPL_1.WAV,-366.4059861497012,32.422985174970016,-210.5538249943688,-36.443447680080425,39.97247062117146,-20.356530337556787,2.40974275541603,1.2942689595268493,9.499551789196287,0.7841159571762921,-3.8984979163992164,0.5800804009181707,0.7066065465351474,1.6260662915707054,4.895101493537568,-1.1694635890545275,6.954028904804222,-8.191663682314395,1.9659712421927893,-0.3530774850747525,77.60524483279914,40.56639963518276,57.666516184676084,60.62182059380183,40.891196600669865,32.910975393060305,22.580103179540213,31.520835054524554,30.26337006941713,13.171812136063041,17.956301364552942,13.11672002315314,10.144139500290418,12.918324478301633,7.48365174327994,3.9276254157698838,5.834005961659429,6.849695012246181,9.225561164207752,5.03629686154585,5462.0,532.0,659.0,822.0,914.0,895.0,764.4,180.0,170.0,781.0,1025.0,539.0,5620.166015625
LPL11_40,LPL_1.WAV,-355.3580282228518,15.28587864156102,-189.91644482247946,-34.069389630726526,47.763077576999656,-9.852496488349916,-0.6814230275287599,0.9223504553126144,3.538260282811902,-2.676450541388201,-3.548344166841589,-4.2717855433855005,-0.7734803242485093,4.5829882628596375,-1.56622505228199,2.004000429698727,1.7957222738647414,-1.9874074157724286,-2.8317914781536246,3.129510016743854,101.43034213985318,31.78449791919598,68.89410916234492,55.42789456129349,49.424913417434,37.630044917377695,21.366981846094866,32.22477598484752,32.423938859890384,14.51672747350766,19.22190166952687,10.882490003132228,8.6946854218979,8.696106644983246,4.640867319214113,6.195068019142606,6.352027622380737,5.29883587713049,3.740231448084241,3.5750009780096206,5504.0,513.0,634.0,848.0,928.0,905.0,765.6,182.0,191.0,759.0,1060.0,548.0,5555.56640625
LPL11_42,LPL_1.WAV,-379.68846485248645,38.02740826255598,-204.1920782889174,-51.319501424869806,61.02161965804784,-18.80482097678683,-1.249251810493505,15.504756850251809,13.360426333798507,-11.920233151158731,6.8820659323358395,-2.993013343852873,-9.853658154709503,4.330868293802222,0.08475130624921533,-2.105281683806208,1.3878540640800607,-2.5683040394375714,-1.5893089764602077,2.322537711365627,71.72606960137435,38.21741839513272,63.45891817488014,63.4965517732024,38.97853742831155,37.236543244412175,22.185341131478204,24.314578703446074,38.56611481061667,13.599745702754081,11.293290780951478,13.921509536859942,9.217393147696633,7.78693621945929,5.726442057338574,7.070107698406101,7.523609108585143,4.2309602996184905,3.6063582633605376,4.141775317068675,5451.0,532.0,625.0,828.0,924.0,922.0,766.2,190.0,172.0,768.0,1010.0,535.0,5663.232421875
LPL11_44,LPL_1.WAV,-384.52335044484715,27.46632373278512,-207.77203409671765,-42.92704614012815,35.54484122863671,-6.696574787078271,1.1193486901415646,16.84345238283488,11.699355908823447,4.826410984984777,-3.0862842273157436,-3.5491467813836035,-3.367984811626097,-5.370694709996118,5.7968595599313915,-2.9045370924901466,2.3571359046855265,-2.1930179843038546,2.243824219190168,0.7016405485299976,74.47294872039869,32.02595322545262,62.70121031452753,55.92600396236967,42.587393486658385,38.84757401713713,21.990301896440062,22.703040617756862,29.361875767129263,11.161418153360128,16.624708002183436,15.127992396273813,11.944308288047543,14.13903743836853,7.424499891136102,7.065466938690118,4.679264251685488,5.249945132576609,5.453102176641737,3.745167758928404,5410.0,503.0,626.0,795.0,917.0,875.0,743.2,159.0,185.0,837.0,1037.0,554.5,5663.232421875
LPL11_46,LPL_1.WAV,-340.43101883629066,13.512067558602341,-187.03186794561458,-25.581890891053096,44.713729560525714,-10.685108319227515,0.7592730742686293,6.402172904533831,4.361236540874688,-5.13584677628165,-2.771410096776086,3.318846233548127,-0.7454114427678014,2.2095023945563397,2.6003566973617565,-0.9309843826230412,2.1339214542320484,-1.9467684548886357,2.93077699036099,1.8798717357409596,109.50910156897979,36.316720699780106,71.35565611852292,62.71785473877325,48.72837415370936,36.25316378501693,23.238442147315737,19.510818307787954,31.82445203943355,7.311282083603292,18.797876197682456,12.189210570168427,7.625536505927503,11.429436723201594,6.957607905617831,8.698644030870911,7.3097002417525685,5.8615682565208544,8.816704793313878,6.805699991242579,5542.0,481.0,667.0,853.0,923.0,960.0,776.8,187.0,189.0,807.0,987.0,542.5,5684.765625
LPL11_49,LPL_1.WAV,-364.2659784672832,26.629337718919817,-196.2880980774096,-30.99649673911121,44.74967652205851,-17.19994256499521,1.4995909826270377,6.114004533748612,4.367609242148462,0.34248640061958563,-2.1163065449130856,-3.5408887344747138,-3.2141907468206385,0.8777990833267901,-0.2884608863171541,0.014034218873279904,0.2638937289140301,0.8144071655542419,-1.4871040948991818,3.8250891382106635,90.19426511716551,37.98453356021055,65.79643405817521,60.11377020807712,39.39006462303057,37.175416362201936,21.8162337842497,26.57650945826119,24.623222750636454,10.889752101361044,16.922179964319977,13.81124515749563,12.339669701692054,11.149213676224722,4.239736907231651,5.398058048397651,8.111999158502863,5.015226941634181,3.897369119579286,3.7545388354116795,5537.0,486.0,646.0,811.0,939.0,898.0,756.0,187.0,167.0,805.0,1122.0,570.25,5598.6328125
LPL11_50,LPL_1.WAV,-348.34287465127625,14.870079758357292,-183.93590567039988,-36.709079075351525,30.1043485998945,-4.635627029459443,2.965548716343686,2.8359937433952576,8.863553799953538,8.15160033940627,-7.79456334253258,-1.9343997781121507,-4.764836741121574,-0.2405866892950139,2.458121227115421,2.0114896926959593,5.997638943598654,2.6518500680962527,-3.163519288967331,5.056098540287276,108.50775507404977,34.23434597607468,72.30138409088686,65.60465303626343,37.707042115493415,37.742466612963064,30.240351782281696,22.207723465890666,20.615568833492983,7.650780366428827,11.447672754492917,16.06714954873136,8.39361389102755,13.620456406739471,4.58587474329062,12.365878240296851,8.2293619874405,4.622370002036008,5.118868867428045,4.253573199048077,5611.0,526.0,685.0,761.0,907.0,910.0,757.8,173.0,221.0,834.0,1125.0,588.25,5641.69921875
LPL11_52,LPL_1.WAV,-374.990804591577,9.294543840460541,-216.8907802800885,-34.659286817902355,40.64204832406806,3.542796631737649,-9.927865901419123,17.59581194191417,6.93650461436037,-15.300966200983748,10.091742794142704,0.5347376101057946,-2.7807899235635967,2.0708558232924474,3.8283816126218655,3.1593246914700894,-7.3335465957716055,1.5985800240968857,-2.3903763632915296,-0.6919185005349445,69.75357011733178,41.238711682421034,58.26800494604903,66.67845306707305,38.32581872314061,30.594800844714474,27.781984119300017,15.304238684269043,16.716739031521655,11.207623179568362,13.61203370191862,8.631382228612322,7.939059044011955,6.494377788863089,5.8903048233468445,6.953209959691357,7.687291799919214,5.899075857707591,5.69078494075991,5.0013860156137575,5530.0,528.0,629.0,804.0,888.0,910.0,751.8,239.0,242.0,767.0,1047.0,573.75,5878.564453125
